purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(16878, 2429.2565114314125)","(17216, 2833.8859674912937)","(17217, 630.1077535901333)",
"(27997, 2806.828144900914)","(27998, 2188.851025479853)","(28336, 2271.0934596546117)","(28337, 1439.015622733153)"
"(83794, 2058.4399536808814)","(83795, 1306.3288135332095)","(84133, 2974.109478575998)","(84134, 2511.458948731606)"
"(148039, 2397.377921879928)","(148377, 2584.290763813372)","(148378, 823.5419298026192)",
"(15193, 2723.7468326106296)","(15531, 2551.773650943652)","(15532, 577.3232772237174)",
"(22586, 2917.2413053502714)","(22924, 2527.4980866590267)","(22925, 496.5715211831713)",
"(27645, 2846.551405658593)","(27646, 2447.819787236878)","(27984, 2032.5286659135077)","(27985, 1422.6095921281326)"
"(24939, 960.6632477496463)","(24940, 2056.6721903779753)",,
"(70249, 487.70580271273127)","(70250, 2690.8902590969633)","(70588, 2667.942797215951)",
"(27340, 2641.2949208164264)","(27341, 2077.995836651974)","(27679, 2292.429299263976)","(27680, 1612.6811346497664)"
"(27672, 1701.7534373423714)","(27673, 2921.7992925111043)","(28011, 1502.9484636335837)","(28012, 2812.414089691746)"
"(28363, 243.01628776630318)","(28364, 2841.8174730057704)","(28702, 2833.8675649959623)",
"(84839, 2648.0730317441803)","(85178, 348.44152381449896)",,
"(29008, 940.0900355157212)","(29009, 2108.8424661147615)","(29347, 2908.706520229954)",
"(28336, 1694.6465839889527)","(28675, 1415.7947881487898)","(28676, 2920.7639459766847)",
"(27998, 464.6351383508465)","(27999, 2660.903752552527)","(28337, 2729.573230785626)",
"(76687, 2881.4536469548484)","(76688, 1011.4194789736209)","(77027, 2049.0991195121924)",
"(78041, 2119.708249977416)","(78042, 888.1468513396545)",,
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(27002, 2454.90637375995)","(27003, 980.2386321144361)","(27342, 2370.6486868095444)",
"(72619, 895.1803458019525)","(72620, 2363.235874124569)","(72958, 2550.148270265052)",
"(73334, 1628.8182124209752)","(73335, 1792.3388924339135)","(73673, 2601.380212786719)","(73674, 2705.9270766117966)"
"(28336, 996.6176334059268)","(28337, 2566.883081126639)","(28675, 2253.8766142113295)",
"(88244, 2912.572731021644)","(88245, 99.38347855242554)","(88584, 2973.476037275388)",
"(40801, 2168.6777094240665)","(41139, 2959.6338726726904)","(41140, 846.9434106434519)",
"(24263, 2049.328508160751)","(24601, 2665.132533427179)","(24602, 1151.8926161826676)",
"(28337, 1732.3518359115176)","(28338, 1645.0562117205889)","(28676, 2715.6989732285056)","(28677, 2660.7082815867916)"
"(10451, 2690.406221251933)","(10452, 1415.6199880104398)","(10790, 2939.4885201452603)","(10791, 1848.5268002757043)"
"(148751, 2433.5041159849216)","(148752, 1473.1144314749376)","(149090, 2797.1514722214215)","(149091, 2020.9702429556437)"
"(77702, 2814.5586292773555)","(78041, 1191.5100680417975)","(78042, 1934.6791277262464)",
"(116040, 2240.4975267386903)","(116378, 2793.148653226091)","(116379, 841.0033237380759)",
"(28675, 812.6049751351632)","(28676, 2840.039462843044)","(29014, 2247.1163992471274)",
"(28675, 2259.902144075638)","(28676, 2194.7839774703966)","(29014, 2059.02402710303)","(29015, 1988.550513329058)"
"(24623, 2182.368653690742)","(24624, 2933.128953916121)","(24962, 1316.9196206304293)","(24963, 2362.321339732181)"
"(72952, 2558.969740911688)","(73290, 2871.476644520786)","(73291, 474.2554096507073)",
"(58849, 2029.6136316102559)","(58850, 1242.5275462379188)","(59189, 2620.536857672398)",
"(40462, 2257.164920160864)","(40463, 1558.7109014030007)","(40801, 2684.358722975892)","(40802, 2129.8592233337017)"
"(28337, 1863.473990045231)","(28338, 1164.262818372542)",,
"(84847, 2869.16260028965)","(85186, 883.6866226338691)","(85187, 2177.2041995178224)",
"(28333, 1604.3185165737787)","(28334, 2885.967311949198)","(28672, 1582.7205750059125)","(28673, 2876.066364504867)"
"(28322, 2747.3678776447027)","(28323, 924.6923406150593)","(28662, 2190.256983138472)",
"(27340, 1363.1362830944852)","(27341, 2877.2979291187057)","(27679, 1760.773472358647)",
"(78035, 2016.0163382902508)","(78036, 1273.3457893405866)","(78375, 2595.0407432575994)",
"(75327, 2422.466496631524)","(75328, 1343.1152164220373)","(75666, 2917.0283218317936)","(75667, 2108.190554226245)"
"(25965, 2161.239414548615)","(26303, 2697.6937456351893)","(26304, 995.3321533385438)",
"(67312, 600.2950946982204)","(67651, 2406.0712265196385)",,
"(74988, 1330.264344568211)","(75327, 1689.9421929969615)",,
"(30398, 1378.389960187009)","(30399, 1650.9014989246796)",,
"(28028, 2876.1730395574127)","(28367, 129.35533753492928)","(28368, 2968.6978935426678)",
"(88244, 2892.110507383086)","(88245, 118.49754034116143)","(88584, 2978.4910398546463)",
"(74657, 2097.736494829006)","(74995, 2617.140949026715)","(74996, 1140.0143323140671)",
"(33698, 296.65639469000297)","(33699, 2892.6408635818625)","(34037, 2723.6936126172072)",
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(69573, 2313.785905027261)","(69574, 1291.73960468072)","(69912, 2955.6875017631055)","(69913, 2245.277128250927)"
"(74648, 1917.0822286493712)","(74649, 2803.8507266419883)","(74987, 1495.2524385562895)","(74988, 2533.1481358118367)"
"(27990, 2429.299385174092)","(28329, 1053.0938635008827)","(28330, 2325.4150056583358)",
"(26297, 1105.238085321993)","(26636, 1891.549245418303)",,
"(75670, 1830.9356314814802)","(75671, 2074.734624752254)","(76009, 2211.412232708724)","(76010, 2417.7306974795965)"
"(148386, 2516.1864513735636)","(148724, 2781.077074418033)","(148725, 561.3662267315179)",
"(27676, 2358.283577835135)","(27677, 780.927817003505)","(28016, 2707.8995306105176)",
"(24936, 961.608671918846)","(25275, 2036.923517528424)",,
"(68966, 2747.854649217902)","(68967, 849.4100682114984)","(69306, 2265.418889429105)",
"(63203, 1130.4496177247531)","(63204, 2479.3576477157453)","(63542, 2220.731500757098)",
"(75665, 1479.960592511774)","(76004, 1599.7840924742716)",,
"(76693, 2443.0026201709734)","(76694, 1490.3455144440566)","(77032, 2782.376349531461)","(77033, 1998.4424834474103)"
"(30700, 2285.707697067534)","(30701, 2366.401572337244)","(31039, 1888.4734078725198)","(31040, 1987.0808092684676)"
"(62522, 366.4467360053281)","(62523, 2849.3567326793827)","(62861, 2684.67539984929)",
"(9719, 1913.4323760170876)","(9720, 1674.5679345230203)","(10058, 2599.654017632083)","(10059, 2430.9956315377267)"
"(27998, 2390.5743188391334)","(27999, 2209.1465039118693)","(28337, 2070.033851573223)","(28338, 1856.8476843977546)"
"(26970, 1826.9414933801268)","(26971, 1199.6060885032596)",,
"(74648, 1916.5251400040115)","(74649, 2820.193522409173)","(74987, 1481.2970580459137)","(74988, 2543.493129183751)"
"(27326, 2599.499217701837)","(27664, 2593.247919662611)","(27665, 628.6324588358364)",
"(70247, 1643.28232878919)","(70248, 1393.8614376531991)",,
"(77084, 2833.3149674264264)","(77423, 338.598716136411)","(77424, 2729.7934118504436)",
"(74647, 2784.4108274201394)","(74986, 212.43824813472568)","(74987, 2991.1106663547725)",
"(72955, 1865.966297297917)","(72956, 1420.4725302792724)","(73294, 2922.7279426666364)","(73295, 2661.0988088591084)"
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(33044, 2987.9285282258516)","(33045, 1137.4886993402913)","(33384, 1894.1044005495455)",
"(38207, 2579.16822464119)","(38208, 2624.5053998249755)","(38546, 1711.1253687772648)","(38547, 1781.4029260998516)"
"(83831, 2834.726756724173)","(84170, 697.1979014616)","(84171, 2366.040394294347)",
"(75669, 2319.630702765442)","(75670, 2664.08142769749)","(76008, 1591.0350417358247)","(76009, 2060.7812902984733)"
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(27002, 1118.3303478941677)","(27003, 2651.863134653665)","(27341, 2091.7313901517664)",
"(79062, 2005.1604958108574)","(79063, 2795.553255478542)","(79401, 1477.080374092202)","(79402, 2445.0588439957255)"
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(28322, 2383.9326355234234)","(28323, 2871.1002531721733)","(28661, 1383.0635647907613)","(28662, 2115.0396365284378)"
"(5718, 2967.0741611802155)","(5719, 1051.9552034569936)","(6058, 1984.1985589372694)",
"(27676, 2277.366045112026)","(27677, 896.1975778828802)","(28016, 2668.7247376145438)",
"(75327, 2087.5534090294877)","(75328, 1061.846039285618)","(75667, 2734.504924943878)",
"(27314, 1073.589673000043)","(27315, 2041.2910285856717)","(27653, 2796.59494871814)",
"(27676, 2358.283577835135)","(27677, 780.927817003505)","(28016, 2707.8995306105176)",
"(74648, 1922.946804774218)","(74649, 2806.6837213788403)","(74987, 1490.847122981605)","(74988, 2529.2408217678035)"
"(27992, 2988.3032696217956)","(27993, 207.55721646444985)","(28332, 2788.776019633694)",
"(74648, 1920.8781734586075)","(74649, 2813.247900445972)","(74987, 1485.8302475941355)","(74988, 2535.1471517222844)"
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(28337, 1269.5680536227742)","(28338, 1922.2092715348379)","(28676, 2732.0907095569746)",
"(27644, 1565.5665997943943)","(27645, 1547.8041165713157)","(27983, 2998.553044239102)","(27984, 2988.599417903326)"
"(74648, 1917.7070382568957)","(74649, 2812.610514222314)","(74987, 1487.4460550180647)","(74988, 2537.7869609123154)"
"(70927, 2669.999110765587)","(70928, 2534.7494080169167)","(71266, 1842.6850554946861)","(71267, 1637.8661610888562)"
"(71263, 1501.916420331778)","(71602, 1537.3752725439374)",,
"(87919, 2735.797040881385)","(87920, 274.68288090546275)","(88259, 2991.105899502528)",
"(27990, 2429.8234730925683)","(28329, 1052.7227125201277)","(28330, 2325.252968043746)",
"(76080, 1468.6744470219971)","(76419, 1602.0243241643416)",,
"(77030, 588.761597255199)","(77031, 2428.0237779932054)","(77369, 2963.7465682496827)",
"(28675, 1784.4169005175715)","(28676, 1225.9897227949334)",,
"(11413, 2378.581987162134)","(11414, 2226.2773069818563)","(11752, 2044.65589825711)","(11753, 1866.6876646365204)"
"(61844, 1557.4286255542647)","(61845, 1491.7300030559265)",,
"(75330, 2005.5890411250134)","(75669, 1097.1119284070421)","(75670, 2817.590485329065)",
"(28337, 1148.0875534600116)","(28338, 2146.149593348683)","(28676, 2548.4786902542314)",
"(76010, 2791.523200511958)","(76349, 1292.6250148561205)","(76350, 1868.152648924376)",
"(10120, 2119.7981814787804)","(10121, 1829.2984469380008)","(10459, 2422.646916134799)","(10460, 2175.1391394664506)"
"(63201, 1062.2064608578023)","(63202, 2662.7259404234073)","(63540, 2132.489397388417)",
"(113589, 2974.772861982565)","(113927, 1926.4635958080828)","(113928, 1115.6874301679686)",
"(26974, 2154.6336594242166)","(26975, 2160.221916252491)","(27313, 2082.4624689859274)","(27314, 2089.2911132806726)"
"(28671, 1213.9857467915906)","(28672, 2654.9330509489014)","(29010, 2010.470233061142)",
"(27341, 2063.070465986084)","(27679, 2636.3620886444864)","(27680, 1168.9268678406174)",
"(27644, 2645.1876777486073)","(27645, 2005.6811432685033)","(27983, 2362.0381410993655)","(27984, 1613.4837476836847)"
"(29354, 1964.1845690456626)","(29692, 2678.0144807210563)","(29693, 1254.9482760475375)",
"(27663, 2974.660250784397)","(27664, 113.51234538090893)","(28003, 2887.318700260204)",
"(70589, 2486.516584220959)","(70927, 2262.848397937819)","(70928, 1068.0082814016844)",
"(71602, 445.19527395146514)","(71603, 2677.5964513392782)","(71941, 2735.5323596996586)",
"(29037, 1768.925486072706)","(29376, 1239.3080388558799)",,
"(29343, 1226.535362224282)","(29344, 2258.740500464155)","(29682, 2349.167194425164)",
"(27325, 2886.4618416914905)","(27663, 2900.6180099896014)","(27664, 154.559981055277)",
"(72277, 2635.1546912973727)","(72278, 1271.8195373699066)","(72617, 1984.3077069763262)",
"(72617, 209.036547517121)","(72618, 2814.0556271834525)","(72956, 2925.15749806877)",
"(71982, 1540.2897077783098)","(71983, 1545.8257345251748)",,
"(27997, 2618.763992668651)","(27998, 1562.5046198140408)","(28336, 2771.9545667498337)","(28337, 1807.5620251564521)"
"(27999, 2632.1844796942305)","(28337, 2403.584113432605)","(28338, 784.2563458138933)",
"(112910, 2068.26796566072)","(113248, 2848.736599761702)","(113249, 1003.5918641679126)",
"(27994, 2064.3970880733027)","(28332, 2634.203513276756)","(28333, 1164.6776369887993)",
"(74987, 1646.0084038351986)","(75326, 1351.548455473671)",,
"(75332, 2615.4979799582925)","(75333, 1443.631976761839)","(75671, 2881.373336621045)","(75672, 1881.6663584023568)"
"(14128, 1239.7248431872522)","(14129, 1795.7858963026015)",,
"(29681, 799.6662536116282)","(29682, 2881.471785102337)","(30020, 2239.4762777458736)",
"(74648, 2165.0408031279653)","(74649, 1995.0015128292496)","(74987, 2251.8104303660343)","(74988, 2087.469409940615)"
"(26973, 2614.4956361226928)","(26974, 2226.4072645447677)","(27312, 2128.858210825527)","(27313, 1629.6798002495023)"
"(27676, 2184.937491615717)","(27677, 962.3075743698963)","(28016, 2721.643861637938)",
"(81084, 2473.9571864104887)","(81085, 1795.481989723342)","(81423, 2500.8767644182167)","(81424, 1831.729793717252)"
"(47930, 2788.0257668682348)","(47931, 2737.3822233369447)","(48269, 1692.0012536565105)","(48270, 1607.0242748624494)"
"(77698, 2913.073141498801)","(78036, 1917.0550826263582)","(78037, 1156.6317302926634)",
"(72617, 1836.69714625431)","(72618, 2310.7080823214296)","(72956, 1975.3673868738085)","(72957, 2421.400197990299)"
"(59746, 2018.8448107155573)","(60084, 2824.510606874517)","(60085, 1075.623465095697)",
"(77358, 1991.866851455864)","(77359, 2843.286570639322)","(77697, 1438.3076761772677)","(77698, 2483.568210033542)"
"(76687, 1456.4467746990547)","(76688, 1556.8927327619474)",,
"(30090, 2270.553605686373)","(30429, 742.8017784762279)","(30430, 2996.0603752676025)",
"(89896, 1754.4812067591893)","(89897, 1855.1588568336294)","(90235, 2465.0322725019155)","(90236, 2537.8482987083817)"
"(76018, 1678.04827518821)","(76357, 1336.206579028945)",,
"(62859, 2980.2495307800777)","(62860, 1004.8370021071435)","(63199, 2023.647766406988)",
"(62182, 1088.7935843055104)","(62183, 2414.7136500624215)","(62521, 2312.3824791176794)",
"(70252, 2774.034969434785)","(70253, 2074.6568434349088)","(70591, 2365.42815798109)","(70592, 1481.7666766348718)"
"(74987, 686.1360878933408)","(74988, 2628.337013120581)","(75326, 2501.967594192355)",
"(73293, 1515.324313036)","(73632, 1541.4839321515772)",,
"(86901, 1508.1188207908024)","(86902, 2952.9490845577757)","(87240, 1612.617481429433)",
"(68561, 2037.64087647128)","(68562, 1395.1388877046238)","(68900, 2877.656811258803)","(68901, 2466.0560461736495)"
"(75666, 1789.203378972437)","(75667, 2314.5239463403527)","(76005, 1986.6665776286002)","(76006, 2468.084101444738)"
"(28684, 2838.1536142725367)","(29022, 1911.655128059115)","(29023, 1206.1901230643607)",
"(76011, 1336.9768247564527)","(76012, 2429.9208916937732)","(76350, 2106.6673977358955)","(76351, 2923.5208176375936)"
"(22577, 1716.865521770681)","(22578, 1329.510845829305)",,
"(62182, 1088.7935843055104)","(62183, 2414.7136500624215)","(62521, 2312.3824791176794)",
"(85187, 1103.3633399005819)","(85188, 2493.8665013914215)","(85526, 2226.588373717168)",
"(78723, 2105.9763958063927)","(79062, 1214.643645643835)","(79063, 2531.111134911844)",
"(13444, 1928.710107566464)","(13445, 1444.6193326369887)","(13783, 2855.586542888394)","(13784, 2553.095392807367)"
"(83457, 2945.712111039824)","(83796, 82.31060378533093)","(83797, 2944.54352245357)",
"(80808, 975.3959549245193)","(80809, 2038.6224640915743)",,
"(43172, 1627.0680842264107)","(43173, 2116.7604888541396)","(43511, 2240.1166960549294)","(43512, 2616.8651559533064)"
"(76011, 955.7497662687758)","(76012, 2309.8680854536606)","(76350, 2548.2952751399844)",
"(77369, 2040.1773725275943)","(77708, 965.7854153073463)",,
"(81084, 2485.3044546480414)","(81423, 538.3662593565663)","(81424, 2898.1628084114463)",
"(79730, 2837.769897915907)","(80068, 2838.624085733784)","(80069, 238.84786585520615)",
"(21903, 1824.377610398207)","(21904, 1182.8338263170133)",,
"(77696, 1848.658828056848)","(77697, 1176.5911583452248)",,
"(79052, 1966.6224941947385)","(79053, 2883.876752598846)","(79391, 1409.425557606142)","(79392, 2535.8724864084757)"
"(78036, 1614.8084665126096)","(78037, 2065.9478136386715)","(78375, 2302.953919667194)","(78376, 2638.5472363157633)"
"(74988, 2628.600710593521)","(75326, 2709.469251221389)","(75327, 506.08641681346154)",
"(94032, 2014.9317210012262)","(94033, 2990.775739250068)","(94371, 1304.7504673122899)","(94372, 2565.902023736344)"
"(27644, 1716.2202455500615)","(27645, 2504.9985716048177)","(27983, 1829.7458950495213)","(27984, 2583.8358647539067)"
"(70251, 2602.700916650572)","(70590, 829.8073225100661)","(70591, 2382.366822261853)",
"(28328, 2478.0938591393615)","(28329, 1940.2782121278358)","(28667, 2360.6525027821153)","(28668, 1787.6237497431162)"
"(75326, 1788.93084727388)","(75327, 1689.6751841638527)","(75665, 2635.855989859299)","(75666, 2567.4746888678483)"
"(33063, 2606.218799332705)","(33064, 2873.155641965816)","(33402, 1448.825382762825)","(33403, 1886.796011105873)"
"(70251, 2178.5605667444715)","(70590, 823.5108896648807)",,
"(69683, 2302.7740417536565)","(69684, 1530.33776527229)","(70022, 2727.6188345420755)","(70023, 2117.2815564384623)"
"(83794, 2684.1908145958964)","(84133, 473.7834035833378)","(84134, 2691.9727933842773)",
"(27002, 1412.590574225892)","(27341, 1608.7413427819438)",,
"(70928, 2578.6836537832314)","(71266, 2077.2729356380073)","(71267, 1207.2131412559631)",
"(75665, 2050.897589970329)","(75666, 1325.2653099967408)","(76004, 2954.9800716343434)","(76005, 2505.968086811128)"
"(85185, 2401.8031610353783)","(85186, 611.8474930193306)","(85525, 2998.0083955785726)",
"(85185, 2432.9742681522043)","(85186, 580.3364581405198)","(85525, 2995.6983042909865)",
"(75664, 483.6553251135667)","(75665, 2588.0610146862527)","(76003, 2806.3555779250623)",
"(72272, 2974.6461611172335)","(72273, 2333.4005658706856)","(72611, 2240.9891821679253)","(72612, 1271.5560699277698)"
"(9098, 2430.602779858256)","(9099, 950.9587319137935)","(9438, 2426.2264128227152)",
"(86542, 1350.3538940385472)","(86543, 2519.9656018191336)","(86881, 2020.3052534987212)","(86882, 2933.3746415432165)"
"(74987, 2076.913744886092)","(75326, 1041.503382269898)","(75327, 2771.4852910474956)",
"(155320, 2739.881510698201)","(155321, 1279.7110261706353)",,
"(133289, 2092.6678035828522)","(133290, 2079.9954224480757)","(133628, 2155.7783884627715)","(133629, 2142.8504016190936)"
"(30019, 2731.5010418590036)","(30020, 2985.4996293802847)","(30358, 1385.8731133069914)","(30359, 1835.9957307667753)"
"(52034, 2786.6232149025464)","(52035, 1427.031821947229)","(52373, 2977.2326666090253)","(52374, 1771.6099923709883)"
"(29676, 2724.6475620415085)","(29677, 331.4636590015212)","(30016, 2841.4713675567386)",
"(84134, 2511.1861930054133)","(84135, 2287.1516593787933)","(84473, 2028.6374940770559)","(84474, 1741.8456208365726)"
"(66867, 1289.6505388843475)","(66868, 1734.6367599974337)",,
"(75341, 2254.0111018774874)","(75680, 787.9753493136521)","(75681, 2874.010217703531)",
"(130947, 2776.166824660651)","(131285, 2504.070199799107)","(131286, 575.2122243047137)",
"(62522, 367.98458002905346)","(62523, 2841.0748279106137)","(62861, 2688.0571955318983)",
"(72279, 782.8857519659742)","(72280, 2294.764456994157)","(72618, 2809.177504324052)",
"(86865, 2338.436331854678)","(86866, 946.8017042571728)","(87205, 2522.1226754539325)",
"(86163, 1989.785745355552)","(86502, 1057.4401027563372)","(86503, 2924.809470484744)",
"(76009, 2747.1900645365063)","(76348, 1016.5024682483357)","(76349, 2119.1411383046943)",
"(62182, 1088.7935843055104)","(62183, 2414.7136500624215)","(62521, 2312.3824791176794)",
"(67885, 1691.7064493938424)","(68224, 1345.0778240006312)",,
"(77032, 2812.5556925666947)","(77371, 383.5661524272804)","(77372, 2690.4470087947966)",
"(76682, 722.7730058447792)","(76683, 2606.544872974609)","(77021, 2482.970538470823)",
"(77018, 2740.668936060941)","(77357, 517.6628817333299)","(77358, 2595.045304401314)",
"(27320, 2862.777374010552)","(27659, 964.9387816450645)","(27660, 2106.4012901571837)",
"(85185, 2434.3733935019122)","(85186, 578.129233577094)",,
"(75672, 2633.2211298052)","(76010, 2932.5708698755284)","(76011, 376.9748518799925)",
"(69908, 2311.5791652369276)","(69909, 1270.6639573154573)","(70247, 2974.0225195016465)","(70248, 2261.5175956249473)"
"(24623, 2642.4119498137457)","(24962, 353.2110942414776)",,
"(27314, 1443.636841066616)","(27653, 1592.1066217816372)",,
"(70929, 2501.45084188699)","(70930, 582.8136320342873)","(71269, 2782.790090708579)",
"(13444, 1612.6027095499117)","(13445, 1478.1053516917823)","(13784, 2998.4170647449337)",
"(9719, 2380.2120983796926)","(9720, 2228.706935310406)","(10058, 2041.482447623318)","(10059, 1865.0408271698514)"
"(21564, 1341.1918500834497)","(21565, 1879.8667416122157)","(21903, 2710.711392629716)",
"(27990, 2427.0046409997685)","(28328, 2292.7391705740424)","(28329, 1093.417485343851)",
"(27645, 1032.5697414993426)","(27646, 2948.15226227802)","(27984, 2001.4416510019967)",
"(76703, 2600.23166545797)","(76704, 1788.1922831641427)","(77042, 2555.8878191397603)","(77043, 1719.7127965524278)"
"(77696, 2258.4320012091316)","(77697, 1865.4835605310327)","(78035, 2387.1530507915836)","(78036, 2017.862345472387)"
"(70590, 418.48401234453235)","(70591, 2653.58287807717)","(70929, 2810.6461557028397)",
"(75341, 2622.0300252023217)","(75342, 387.39270323625954)",,
"(76681, 2486.3357078521817)","(76682, 1049.9917289407629)","(77021, 2276.414448412812)",
"(81422, 2442.9092104557935)","(81423, 2063.8482699553842)","(81761, 2231.056763730062)","(81762, 1806.362030980243)"
"(47608, 2051.2393244273635)","(47609, 2560.638987982211)","(47947, 1691.5052054862874)","(47948, 2282.153227542304)"
"(28705, 2156.417559301766)","(28706, 1028.9263516619324)","(29045, 2677.017461407557)",
"(78035, 1100.011369856748)","(78036, 2181.2173287840974)","(78374, 2554.5063647912193)",
"(85185, 2436.5105192069086)","(85186, 576.9415673656433)","(85525, 2994.026768326231)",
"(83834, 324.76461879445816)","(83835, 2760.050348614361)","(84173, 2809.652559134504)",
"(10785, 1766.3158560688858)","(10786, 2455.50269721578)","(11124, 1864.356824726974)","(11125, 2526.899477799189)"
"(91333, 1783.4769139766324)","(91672, 1287.3553783728853)","(91673, 2960.4583622591194)",
"(95629, 2729.125215642696)","(95968, 311.1020386031435)","(95969, 2870.120938477581)",
"(74308, 2820.8965403184425)","(74646, 2241.570263710316)","(74647, 835.7035684997953)",
"(62547, 1327.9297789165182)","(62548, 1778.9878720443446)","(62886, 2913.808694029903)",
"(6052, 2441.31245053666)","(6053, 1838.774726573175)","(6391, 2451.628598471452)","(6392, 1854.7775980676402)"
"(73290, 2843.1742731479035)","(73291, 2017.8274469802436)","(73629, 2462.9756864736923)","(73630, 1430.8824130662417)"
"(111350, 2484.8240224631786)","(111351, 586.9743551845462)","(111690, 2810.1029799848748)",
"(75673, 2214.056666015953)","(76011, 2604.695879255374)","(76012, 1009.7880007558908)",
"(78383, 1936.4483317182858)","(78384, 2506.7873453248953)","(78722, 1763.3511724783089)","(78723, 2374.150032616498)"
"(85185, 2437.5663543180194)","(85186, 576.3566795514108)","(85525, 2990.2706546036497)",
"(74662, 1665.0034977701216)","(74663, 1343.6953397381321)",,
"(69579, 2963.6449638569165)","(69918, 1338.8064610534027)","(69919, 1742.8561540048395)",
"(14126, 2976.5739638218743)","(14127, 1134.8696941081173)","(14466, 1901.5941377552176)",
"(74987, 2651.5359399195213)","(74988, 358.8969756214328)","(75327, 2981.5296714111964)",
"(30696, 2261.3674821651057)","(30697, 2009.7317257087138)","(31035, 2241.974772576157)","(31036, 1989.6951918330624)"
"(27993, 2992.2871860138653)","(28331, 2647.5323966149003)","(28332, 361.64924630468215)",
"(30011, 1538.5042452748964)","(30012, 1727.2614608052281)","(30350, 2745.0800169081813)","(30351, 2854.73776912482)"
"(81485, 2100.1027162183377)","(81824, 900.2266152565563)",,
"(87164, 2055.2829733699277)","(87165, 2987.688263089403)","(87503, 1293.9901753171318)","(87504, 2523.463870130971)"
"(62182, 1088.7935843055104)","(62183, 2414.7136500624215)","(62521, 2312.3824791176794)",
"(77710, 1415.7552294691739)","(78049, 1583.404778073387)",,
"(75326, 2411.568214667925)","(75327, 1008.4679388121634)","(75666, 2381.8771835146104)",
"(74988, 2491.8516519469845)","(75326, 2578.1728254791437)","(75327, 737.7069491203688)",
"(76355, 2134.6347445442843)","(76356, 2790.996724083823)","(76694, 1460.242855166731)","(76695, 2314.7571969226724)"
"(29011, 2052.2806339666663)","(29012, 2338.055877274171)","(29350, 1908.3669457739372)","(29351, 2215.3912068115155)"
"(34803, 1422.3535870447824)","(34804, 1600.1065541966043)",,
"(71940, 1978.899668307476)","(71941, 1086.111404763479)","(72280, 2914.0827930672235)",
"(136743, 2574.758121676738)","(136744, 1275.363554256225)","(137083, 2015.264474149311)",
"(85185, 2395.626534593456)","(85186, 617.8120096784583)",,
"(76688, 2630.6209899077467)","(77026, 2190.7086469719493)","(77027, 1021.3206780966286)",
"(75001, 1099.8024403387292)","(75340, 1896.4320385226347)",,
"(154644, 2561.5482176430683)","(154645, 599.7005882570952)","(154984, 2637.5852749439355)",
"(127156, 2305.799674000211)","(127157, 909.2336274323933)","(127496, 2594.76844483133)",
"(77421, 1910.882889237644)","(77760, 1099.8863087334341)",,
"(110586, 2744.8175939583807)","(110587, 2792.8780995950306)","(110925, 1604.7266254250649)","(110926, 1686.1178371931774)"
"(82150, 2030.1791483236902)","(82151, 2872.265476464884)","(82489, 1402.7043425839274)","(82490, 2470.8186075247036)"
"(83855, 2622.9009518644684)","(83856, 1541.0279512516047)","(84194, 2796.2982523667642)","(84195, 1819.631677800591)"
"(62182, 1399.9730061239143)","(62183, 2493.8050509619966)","(62521, 2011.828269960755)","(62522, 2882.1267058573385)"
"(69915, 2974.7349381149847)","(70253, 1770.374953421881)","(70254, 1300.8416739585434)",
"(67202, 2639.914699398986)","(67203, 450.08859037955625)","(67542, 2777.9866398374484)",
"(25951, 2958.416571377943)","(26290, 595.4089802632924)","(26291, 2419.9084006315143)",
"(70589, 2527.921441387147)","(70590, 788.1313302195973)","(70929, 2486.952882900575)",
"(84478, 2436.466368553832)","(84479, 1715.4135744801144)","(84817, 2566.8451544731843)","(84818, 1894.0691324654656)"
"(76682, 1307.0247706554915)","(77021, 1688.3046521755282)",,
"(74316, 2166.896900639251)","(74317, 1290.4444849438946)","(74655, 2965.4343691405666)","(74656, 2399.2166358301683)"
"(75678, 1526.6703148861845)","(76017, 1534.4350395500444)",,
"(71605, 1244.8871230875925)","(71606, 1953.3611692680993)","(71944, 2712.9537078660564)",
"(85185, 2433.5495185625173)","(85186, 581.2402416814024)","(85525, 2984.7543691564983)",
"(72618, 1979.6961030498694)","(72956, 2956.4928439055006)","(72957, 1058.6317331428618)",
"(149261, 2044.3608282217676)","(149262, 2245.4682334946915)","(149600, 1985.3623823286193)","(149601, 2190.2187823181957)"
"(85185, 2403.4415512020323)","(85186, 609.9659122589917)","(85525, 2999.6681015791855)",
"(100471, 1633.5113731369283)","(100472, 2937.9032896098743)","(100810, 1534.9014367360414)","(100811, 2883.6243433150757)"
"(70595, 2699.215392007985)","(70596, 602.5683630360373)","(70935, 2532.5424931948146)",
