purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(27305, 2368.0236789132896)","(27644, 637.9192188745068)","(27645, 2956.4626899376763)",
"(28024, 2107.165482327543)","(28025, 909.5301564737362)",,
"(82111, 1960.1721708609577)","(82112, 2337.174954358428)","(82450, 1923.7654638267356)","(82451, 2305.707447224433)"
"(29350, 2953.4835802267216)","(29351, 2783.976443469742)","(29689, 1756.398043350423)","(29690, 1453.5287961000226)"
"(61844, 1358.4982073786036)","(61845, 1651.7002311970423)",,
"(29023, 1785.3456267695112)","(29024, 1235.554751110462)",,
"(143079, 2043.5525225139666)","(143080, 1285.6046171918442)","(143418, 2985.1987910561065)","(143419, 2525.901114902729)"
"(27314, 1436.4162146126473)","(27315, 1769.38636894458)","(27653, 2779.294286559201)","(27654, 2965.511977176996)"
"(28668, 2014.625250676951)","(28669, 1310.4214052070188)","(29007, 2982.862520910497)","(29008, 2561.787621897452)"
"(26664, 1460.3587199806761)","(27003, 1546.2120578329564)",,
"(126133, 692.0764185312764)","(126472, 2301.8073245755604)",,
"(32726, 2679.66691176903)","(33064, 2233.1548850037234)","(33065, 931.3842325489139)",
"(100770, 906.4816957952305)","(101109, 2094.3764255303563)",,
"(79738, 2827.2510638643435)","(79739, 751.2274304760919)","(80078, 2310.902935013097)",
"(28337, 1863.301761388207)","(28338, 1165.0991030413823)",,
"(36131, 1237.7032775363973)","(36132, 1915.2421288136125)","(36470, 2788.058771638422)",
"(24941, 1457.4809846019891)","(24942, 1651.0753480192059)","(25280, 2953.4175051501425)",
"(26636, 2770.4082398818327)","(26637, 2722.752281650972)","(26975, 1695.947482117576)","(26976, 1617.9085898951423)"
"(76349, 2834.3584172457095)","(76687, 2283.5174515949298)","(76688, 783.7818374864452)",
"(69570, 2816.8428020654515)","(69571, 2226.112796342916)","(69909, 2241.4823811761357)","(69910, 1428.9156731987243)"
"(69579, 2244.966610462803)","(69917, 2433.060294077118)","(69918, 1145.1052885660729)",
"(28336, 2117.7992650276806)","(28337, 2380.4643640335503)","(28675, 1864.2793528824966)","(28676, 2158.2229003170446)"
"(68221, 2714.3792072881597)","(68559, 2004.9723390940692)","(68560, 1177.2750419598112)",
"(38207, 2574.976962603375)","(38208, 2532.741675479879)","(38546, 1805.817452005599)","(38547, 1747.7058451896107)"
"(153675, 2782.467977833912)","(154013, 1802.55789138415)","(154014, 1356.4580160060802)",
"(75665, 603.909693460636)","(75666, 2406.403562485105)",,
"(28336, 1605.5745366517651)","(28337, 2234.1735871464916)","(28675, 2134.6331281682947)","(28676, 2640.3552214566507)"
"(28023, 2971.998713138298)","(28362, 380.38974882881064)","(28363, 2634.3287650835405)",
"(39449, 1584.5377663468935)","(39450, 2549.0017007891747)","(39788, 1852.1059150804983)","(39789, 2720.990338649369)"
"(70928, 2541.233881761593)","(70929, 795.1927233365712)","(71268, 2466.9124307115044)",
"(131597, 1491.3363942452613)","(131598, 1525.7127215819542)",,
"(27645, 2699.359251405342)","(27646, 2603.722753407007)","(27984, 1781.9356177560653)","(27985, 1634.4152764835383)"
"(27997, 1915.5358117110407)","(28336, 1109.8512983188577)",,
"(59745, 2861.7299089292055)","(59746, 1587.5636597825223)","(60084, 2875.4825745168814)","(60085, 1609.8988245462967)"
"(27001, 2054.511391060001)","(27002, 2529.5416566308913)","(27340, 1722.40924687451)","(27341, 2268.910950962044)"
"(72956, 1584.5344815077026)","(73295, 1433.9725405906895)",,
"(33026, 2296.0706258308865)","(33027, 1528.2243971384983)","(33365, 2717.2193263581034)","(33366, 2107.0116890977665)"
"(27650, 2085.5866340246785)","(27988, 2908.824774157316)","(27989, 954.3107767708393)",
"(97731, 1732.521432431454)","(97732, 2955.2530576037175)","(98070, 1461.298624170111)","(98071, 2803.5362268183158)"
"(36131, 1211.3684982669267)","(36132, 1948.7795735618606)","(36470, 2766.3708583255525)",
"(26974, 960.6761279961108)","(26975, 2056.2347854029076)",,
"(28337, 1353.6237803226095)","(28338, 1826.3263703759426)","(28676, 2784.788124164823)",
"(61844, 2607.7670732327983)","(61845, 1690.0592396152933)","(62183, 2651.6951936688133)","(62184, 1755.2716448613344)"
"(28675, 2294.9217375252147)","(28676, 2441.1332695191886)","(29014, 1815.0016786724564)","(29015, 1997.7939988182459)"
"(79399, 2403.4303298685154)","(79400, 828.5717256182023)","(79739, 2580.6463107430463)",
"(24935, 2822.51124315992)","(24936, 681.2589278181242)","(25275, 2375.5145383301387)",
"(29680, 1304.5152438446548)","(29681, 2070.6021287075832)","(30019, 2495.651075818849)","(30020, 2969.032091174133)"
"(61845, 1121.636741528544)","(61846, 1913.3488975651906)",,
"(29004, 1846.2336110969713)","(29005, 1161.0812697362428)",,
"(29023, 1796.541561600679)","(29024, 1226.5585994127543)",,
"(25278, 2017.9010814928056)","(25279, 990.2102599338558)",,
"(74377, 2479.332379430956)","(74715, 2696.5633671502756)","(74716, 660.6484919092583)",
"(27998, 2075.0369536099843)","(28336, 2727.8625336987407)","(28337, 1074.3840090510175)",
"(27994, 1703.6359172478612)","(28332, 2994.7134362450242)","(28333, 1359.7411063858078)",
"(28336, 600.8523155531615)","(28337, 2450.3507414280484)","(28675, 2850.831387292684)",
"(24941, 1412.663407611552)","(24942, 1695.991538787499)","(25280, 2932.3320524524984)",
"(149065, 804.0521503665937)","(149066, 2217.4606894058556)","(149404, 2962.233726893213)",
"(24941, 1414.5749209628088)","(24942, 1695.1503309393654)","(25280, 2931.08459146587)",
"(27997, 2549.2688914101263)","(28336, 458.40796405876495)","(28337, 2942.467109079421)",
"(24941, 1414.8957547789164)","(24942, 1692.8884017046696)","(25280, 2935.083049928001)",
"(86208, 1234.1622523574833)","(86209, 1780.208197363749)",,
"(24937, 1437.0481651436878)","(24938, 1572.8815567770694)",,
"(76349, 1030.4714753903943)","(76350, 2816.4587074827446)","(76688, 2064.2334448621245)",
"(27985, 1763.6406017987106)","(27986, 1244.7865683197654)",,
"(28675, 1920.3142124397546)","(28676, 1108.6257740756853)",,
"(61165, 2355.911479863444)","(61504, 1202.4800174897207)","(61505, 2276.6988602076312)",
"(28337, 1955.3150127210042)","(28338, 1053.6796455737485)",,
"(27644, 1014.4219098060427)","(27645, 2068.6317831278993)","(27983, 2841.8483337378334)",
"(27305, 2309.3367124068072)","(27644, 790.3243707862314)","(27645, 2750.8499095820284)",
"(60085, 921.8587342311556)","(60086, 2440.5100029044)","(60424, 2434.3614945449685)",
"(24941, 1412.3337525378213)","(24942, 1695.6977287240259)","(25280, 2933.421118555525)",
"(27998, 2605.6616009844433)","(28337, 752.8591903076571)","(28338, 2454.8479257652593)",
"(24941, 1413.437044940306)","(24942, 1694.9838318813613)","(25280, 2933.149948513682)",
"(41140, 2003.0488729161455)","(41479, 1130.3983566429608)","(41480, 2762.9747292377383)",
"(47917, 2182.177266345979)","(47918, 999.1644141282309)","(48257, 2664.106206411155)",
"(89266, 741.1985160900088)","(89267, 2266.755943058261)",,
"(27644, 1543.6712084586688)","(27645, 2255.640134084334)","(27983, 2142.198172451997)","(27984, 2700.33969138816)"
"(61105, 2559.1217672596017)","(61106, 2418.378125371542)","(61444, 1910.287238087951)","(61445, 1718.2070871148983)"
"(74648, 1915.6894799915697)","(74649, 2821.973711148304)","(74987, 1480.049984208586)","(74988, 2545.370690989893)"
"(24941, 1414.2409224355597)","(24942, 1694.0028751982438)","(25280, 2933.8689981505577)",
"(18556, 2331.680316729183)","(18895, 677.7502287190932)","(18896, 2971.952413299105)",
"(26974, 1181.8755999979987)","(26975, 2537.0815784430297)","(27313, 2122.8116600138774)",
"(87600, 2175.9870684456223)","(87601, 2852.2269416751083)","(87939, 1400.1899016699283)","(87940, 2313.0283422013526)"
"(24962, 1274.323996569521)","(25301, 1726.343827461107)",,
"(27650, 2104.6102063285803)","(27988, 2912.8342944769274)","(27989, 931.7587098456808)",
"(85553, 1381.0016967508034)","(85554, 1634.6898115642755)",,
"(113534, 1136.7537760519522)","(113535, 1966.395226762244)","(113873, 2896.4041911475765)",
"(91234, 1295.8085527782157)","(91573, 1755.6475905418401)",,
"(74650, 2569.8290443577166)","(74989, 1181.3514350128469)","(74990, 2103.646963982115)",
"(23936, 2936.014805239748)","(24275, 719.8034466235189)","(24276, 2306.1482859411853)",
"(28337, 2690.9736165396253)","(28675, 1931.1325124950718)","(28676, 1294.1841752181112)",
"(35052, 2074.1408039668104)","(35053, 2253.0766480509683)","(35391, 1988.8282448848404)","(35392, 2174.1029304931585)"
"(24941, 1454.794377770977)","(24942, 1653.772947497144)","(25280, 2952.118364731469)",
"(74654, 2802.0463044827775)","(74992, 2209.0040070800255)","(74993, 881.5301856897678)",
"(25965, 2158.3479434360556)","(26303, 2697.0766269435794)","(26304, 999.147676485284)",
"(44912, 1423.6792858816345)","(44913, 2242.5053041240844)","(45251, 2227.6918416339136)","(45252, 2820.723846048937)"
"(47608, 2235.6014860492896)","(47947, 785.0082114760498)","(47948, 2939.754262220519)",
"(24605, 698.8510942570163)","(24606, 2571.21136328814)","(24944, 2538.1628760906588)",
"(28336, 895.2646526933426)","(28337, 2595.040541577883)","(28675, 2322.5564366494486)",
"(27997, 2660.394469275011)","(27998, 1017.5172348016674)","(28337, 2166.9521035766948)",
"(154306, 2279.920431233982)","(154307, 1400.1602109443418)","(154645, 2825.7912581001065)","(154646, 2178.7838367403065)"
"(61845, 2202.3537725824176)","(61846, 999.1807063149804)","(62185, 2644.2019314892573)",
"(27997, 2969.2700510388945)","(27998, 841.2101245737377)","(28337, 2173.7749168789587)",
"(24605, 1411.7301383890517)","(24606, 2727.3192123642584)","(24944, 1816.2929256438656)","(24945, 2956.310602854512)"
"(29009, 2300.075419519216)","(29348, 1230.3916416290217)","(29349, 2305.2256446630176)",
"(74319, 1787.5818508198088)","(74658, 1213.387069105541)",,
"(29023, 1791.7969013917314)","(29024, 1229.105947021626)",,
