sensor,time,pm25_PA,model_before_da,model_after_da
411,2018-11-08 06:00:00,16.6972892,8.735358802549484e-17,7.6252861271538475
411,2018-11-08 07:00:00,13.045209,9.392899229846665e-17,8.093314556812313
411,2018-11-08 08:00:00,10.4839804,9.22337087940964e-17,9.294710739461157
411,2018-11-08 09:00:00,10.7609344,9.284022981939829e-17,9.195581596705825
411,2018-11-08 10:00:00,11.6839806,0.0005530470421470135,9.82144074319148
411,2018-11-08 11:00:00,13.3480342,0.0028061429356914845,13.55398694698936
411,2018-11-08 12:00:00,16.012243400000003,0.004785583597945674,15.866701630830361
411,2018-11-08 13:00:00,23.7619878,0.005599794735695276,17.96108785472654
411,2018-11-08 14:00:00,24.852425600000004,9.273991685919922e-17,19.225764495920505
411,2018-11-08 15:00:00,23.8435008,9.592564747849206e-17,20.041536733946742
411,2018-11-08 16:00:00,24.7511284,0.0014308063130924276,19.680961797147155
411,2018-11-08 17:00:00,21.9876044,0.023662490169313592,16.959494094221043
411,2018-11-08 18:00:00,24.0205282,0.0551876875815865,17.081567945128402
411,2018-11-08 19:00:00,23.2772554,0.049575399993786795,17.016782516835754
411,2018-11-08 20:00:00,18.9096942,0.0855304682531325,10.413557713915468
411,2018-11-08 21:00:00,13.6556472,0.14643911346457505,7.339613250876534
411,2018-11-08 22:00:00,10.7625514,0.45924505949926425,6.02336438380531
411,2018-11-08 23:00:00,5.4738116,0.3999999761581421,5.076173161423227
411,2018-11-09 00:00:00,5.553107600000001,0.31999999284744257,4.12200873247021
411,2018-11-09 01:00:00,5.3898076,0.3144695228061708,0.7490398997435643
411,2018-11-09 02:00:00,5.6558608,0.23999999439788325,0.0
411,2018-11-09 03:00:00,5.7886238,0.21924506030855329,0.8894515207851145
411,2018-11-09 04:00:00,6.121687,0.15999999642372129,0.5571062937561115
411,2018-11-09 05:00:00,7.1017,0.15999999642372129,0.033484826925515986
411,2018-11-09 06:00:00,6.324582400000001,0.19568749722851045,0.03964168621933727
411,2018-11-09 07:00:00,6.5344526,0.3040947624430712,1.0862091622588441
411,2018-11-09 08:00:00,6.1591244,0.32388079298918204,1.6557021614585823
411,2018-11-09 09:00:00,6.1506468000000005,0.3470153538224976,2.2376602951078146
411,2018-11-09 10:00:00,6.1225302,0.4365621126701089,1.479002083513296
411,2018-11-09 11:00:00,6.2772082000000005,0.4492097390721718,1.4988923027727519
411,2018-11-09 12:00:00,7.7999746,0.4547354764982952,1.487148314356121
411,2018-11-09 13:00:00,6.7568118,0.5125051592667258,1.5782947735173587
411,2018-11-09 14:00:00,5.7622336,0.5136398359125897,1.6295999472813802
411,2018-11-09 15:00:00,6.0970184,0.4833847678554866,1.7039292997898172
411,2018-11-09 16:00:00,6.87373,0.4219099923085754,1.8447938504577368
411,2018-11-09 17:00:00,7.0215236,0.31999999284744257,1.4916842361474902
411,2018-11-09 18:00:00,23.8363746,0.2830582949702547,2.5152335943516033
411,2018-11-09 19:00:00,34.9876312,0.31999999284744257,7.376853986429463
411,2018-11-09 20:00:00,17.3817406,0.3089390527648989,4.700592311469403
411,2018-11-09 21:00:00,7.8290354,0.18927667346371868,2.229356471479544
411,2018-11-09 22:00:00,7.288202399999999,0.24514970599313152,2.40077303421888
411,2018-11-09 23:00:00,7.4937234,0.20150985816202127,1.9349236801421477
411,2018-11-10 00:00:00,7.5592194,0.3081637168607682,2.2548031048499317
411,2018-11-10 01:00:00,7.7210988,0.40566716772756733,3.283916927756282
411,2018-11-10 02:00:00,10.493287,0.44285341191552485,4.128395014444256
411,2018-11-10 03:00:00,9.6688592,0.9027392422215473,5.716464092456826
411,2018-11-10 04:00:00,11.816905,0.7473962366033264,4.77684036250751
411,2018-11-10 05:00:00,14.0821338,0.4417138315791387,5.137415451433645
411,2018-11-10 06:00:00,14.099798400000005,0.4540970273763653,5.275292546164653
411,2018-11-10 07:00:00,14.365601599999998,0.3240889493994165,4.156063197468811
411,2018-11-10 08:00:00,12.613411800000002,0.35125769202960166,4.460808063300411
411,2018-11-10 09:00:00,10.8702252,0.7083045239495473,2.872173010210901
411,2018-11-10 10:00:00,9.4086702,1.1498133787051368,3.1479598332061083
411,2018-11-10 11:00:00,8.2515818,0.9010248387088431,2.1096205422964065
411,2018-11-10 12:00:00,7.5315128,0.6890495264775778,3.5469383917489856
411,2018-11-10 13:00:00,7.0795552,1.106213327308502,10.017775144409402
411,2018-11-10 14:00:00,7.117611800000001,1.542065787443862,10.161923517595506
411,2018-11-10 15:00:00,22.0744724,3.022385891433128,6.608493976616875
411,2018-11-10 16:00:00,42.71829580000001,13.826975959432941,13.853383828734817
411,2018-11-10 17:00:00,39.6676156,13.275036042296193,11.753712338237582
411,2018-11-10 18:00:00,25.306512400000003,19.989063232606856,18.88115151353449
411,2018-11-10 19:00:00,11.897332,8.891744065280124,8.789791990232025
411,2018-11-10 20:00:00,20.788068400000004,10.521820733299656,12.219814201181961
411,2018-11-10 21:00:00,18.967062400000003,23.682434870709393,34.040806174281094
411,2018-11-10 22:00:00,78.0427888,58.10769997433708,66.76063028883486
411,2018-11-10 23:00:00,121.9709678,385.91451767061653,381.6436076810841
411,2018-11-11 00:00:00,119.3314966,953.2962599087907,827.1099642797631
411,2018-11-11 01:00:00,107.9196748,1481.395581320931,1365.0778700248336
411,2018-11-11 02:00:00,96.13032180000002,1818.00524689812,1690.2553034992177
411,2018-11-11 03:00:00,100.7343764,1652.295128799524,1530.8655029988831
411,2018-11-11 04:00:00,106.5228998,1495.937935484362,1308.3861735676367
